pattern,total_matches,label_positif_count,label_negatif_count,label_netral_count,positive_label_suspect_count,positive_lexicon_terms_after_negation_count,top_positive_terms_after_negation,example_cases,recommendation
tidak bagus,17,0,17,0,0,18,bagus:16; membantu:1; berhasil:1,tidak bagus pelayanannya trouble transaksi penarikan susah apalagi gunain qris bikin kecewa nasabah || aplikasi nya tidak bagus pindah device aktivasi nya lg mengalami kendala tidak masuk menu || tidak bagus pelayanannya lebaran,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
tidak mudah,2,1,1,0,1,2,mudah:2,pendaftaranny tidak mudah simple transfer bank mudah top up mudah bagosss || aplikasi berguna bagus pembisnis mudah dipahami info didalam aplikasi jelas jaringan lancar tidak mudah error data aman,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
tidak membantu,13,0,13,0,0,17,membantu:13; jelas:2; saldo:1; bagus:1,aplikasi tim aplikasi tidak membantu bahkan rugi merasa dibebani login doang cek rekening pelajar rasanya pakai aplikasi kayak udah bayar pajak negara masa login minta kode verfik bayar pulsa 2 100 udah gitu login pertam || aplikasi buruk tidak membantu transaksi pakai qris berhasil saldo berkurang toko tidak saldo masuk tolong perbaiki kembalikan saldo || aplikasi buruk tidak membantu transaksi pakai qris berhasil saldo berkurang toko tidak saldo masuk tolong perbaiki kembalikan saldo,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
tidak lancar,0,0,0,0,0,0,,,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
tidak bisa,1950,238,1658,54,238,338,jelas:74; resmi:15; sesuai:12; muncul:11; berhasil:10; punya:10; berguna:8; buka:7,puasa tidak bisa transaksi mbanking antar bank semalam keliling cari atm akhirnya trf bank jam 23 05 struk keluar pagi uang tidak diterima bank penerima bank dki harusnya kebanggaan bank warga dki kota kenapa tidak lebih || puasa tidak bisa transaksi mbanking antar bank semalam keliling cari atm akhirnya trf bank jam 23 05 struk keluar pagi uang tidak diterima bank penerima bank dki harusnya kebanggaan bank warga dki kota kenapa tidak lebih || parahh aplikasi tidak jelas muter2 mulu tidak bisa digunain mo isi token listrik hedeehh,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
tidak masuk,214,35,168,11,35,51,jelas:13; muncul:3; transaksi:2; bagus:2; membantu:2; perubahan:2; layak:1; stabil:1,belum layak dipakai kendala minta otp tunggu seharian tidak masuk masuk || tidak masuk alasannya internet tidak stabil kecewa bangett || bank tidak jelas ya transaksi kedebit tidak masuk udah lebih 5 beberapa bulan,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
tidak muncul,58,4,54,0,4,61,muncul:54; otomatis:1; jelas:1; solusi:1; sesuai:1; naik:1; transaksi:1; langsung:1,kenapa kode otp tidak muncul bingung || lebih lengkap jakone versi 1 rekening rekening tidak muncul deposito online tidak otomatis berpindah jakone versi jakone versi jujur lebih suka jakone versi klo lebih versi kenapa rubah versi || lebih lengkap jakone versi 1 rekening rekening tidak muncul deposito online tidak otomatis berpindah jakone versi jakone versi jujur lebih suka jakone versi klo lebih versi kenapa rubah versi,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
tidak ada,230,39,183,8,39,129,tolong:8; pilihan:8; perubahan:8; transaksi:8; jelas:8; perbaikan:7; koneksi:5; layanan:4,min kemarin top up dana tidak bisa top up pas top up ulang tiba tiba saldonya kepake statusnya saldonya terkirim dana tidak saldo masuk gimana min || pelayanan tidak memuaskan via aplikasi jakone transaksi via qris tidak bisa gagal ambil tunai atm dki tidak bisa gagal kecuali tarik atas 1 juta bisa layanan transfer bank tidak layanan bi fast hilangkan layanan pembelia || pelayanan tidak memuaskan via aplikasi jakone transaksi via qris tidak bisa gagal ambil tunai atm dki tidak bisa gagal kecuali tarik atas 1 juta bisa layanan transfer bank tidak layanan bi fast hilangkan layanan pembelia,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
belum bisa,64,24,28,12,24,9,lengkap:1; perbaikan:1; curiga:1; stabil:1; berhasil:1; jelas:1; sempurna:1; aktif:1,aplikasi belum lengkap jauh lebih lengkap mbanking mbanking belum bisa bayar tagihan pdam || masa bulan isi ewalet bermasalah mulu 3 transaksi pasti pending komplain bulan tidak perbaikan belum bisa stabil lebih ganti bahkan dibandingkan lebih oke padahal ngasih rating isi nya komplain entah tanggapi tidak curig || masa bulan isi ewalet bermasalah mulu 3 transaksi pasti pending komplain bulan tidak perbaikan belum bisa stabil lebih ganti bahkan dibandingkan lebih oke padahal ngasih rating isi nya komplain entah tanggapi tidak curig,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
belum masuk,31,23,7,1,23,5,jelas:1; penambahan:1; kaya:1; sanggup:1; aktif:1,aplikasi tidak jelas beli pulsa gagal melulu pemberitahuan cek saldo tiba tiba kena potong saldonya pulsa belum masuk aplikasi lambat nih pakai aplikasi gara gara gaji tidak gara gara gaji ngapain pakai aplikasi tidak || jackone mobile versi terbaru jelek lemottttt transferan masuk tidak bisa deteksi saldo masuk contoh transferan jam 20 18 jam 22 00 wib belum masuk setelah cek saldonya tidak berubah tidak penambahan minta update jackone  || gimana bank dki topup ewalet saldo kepotong uangnya belum masuk ewalet dana tolong d perbaiki jangan kaya gini transaksi gagal saldo jangan d potong,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
gagal,426,71,337,18,71,81,jelas:21; berhasil:4; bener:3; berguna:3; siap:3; saldo:2; membantu:2; solusi:2,tolol ganti hp tidak bisa log in gagal vermuk mulu d coba kalipun hasilnya tidak jelas bangke bukan kemajuan kemunduran || pelayanan tidak memuaskan via aplikasi jakone transaksi via qris tidak bisa gagal ambil tunai atm dki tidak bisa gagal kecuali tarik atas 1 juta bisa layanan transfer bank tidak layanan bi fast hilangkan layanan pembelia || pelayanan tidak memuaskan via aplikasi jakone transaksi via qris tidak bisa gagal ambil tunai atm dki tidak bisa gagal kecuali tarik atas 1 juta bisa layanan transfer bank tidak layanan bi fast hilangkan layanan pembelia,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
jangan,213,55,150,8,55,95,jelas:10; siap:7; lupa:6; kaya:5; suka:3; membuat:3; nasabah:3; top:2,aplikasi memudahkan melakukan pembayaran melakukan scanning qr top banget pokonyaa jangan lupa gunakan jakone || lo belum siap buka m banking nasabah jangan bikin masa fitur transfer bank tidak top up e wallet enggak shopeepay || lo belum siap buka m banking nasabah jangan bikin masa fitur transfer bank tidak top up e wallet enggak shopeepay,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
kurang,139,30,108,1,30,81,bagus:17; jelas:7; lengkap:6; lebih:4; membantu:3; memuaskan:3; respon:2; nyaman:2,selfi pendaftaran kurang jelas suruh geleng kanan geleng2 tidak respon gada contoh gerakan nya berkali2 d ulang ttep stuck || selfi pendaftaran kurang jelas suruh geleng kanan geleng2 tidak respon gada contoh gerakan nya berkali2 d ulang ttep stuck || alpikasi kurang nyaman alpikasinya tambah jelek susah digunakan susah login,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
sulit,179,52,115,12,52,41,jelas:7; berhasil:3; perbaikan:2; solusi:2; nyaman:2; punya:2; memudahkan:2; mahir:1,kecewa banget m banking dki transfer beli pulsa m banking pasti kesangkut saldonya k3potong padahal belum terkirim tidak mutasi keluarnya saldonya kepotong hubungin cs ngabisin pulsa tidak perbaikan komplen banknya langs || verifikasi wajah tidak berhasil 7010 padahal gaya tolong dibantu kesulitan transaksi || bulan turut transaksi tidak berhasil saldo kepotong mempersulit pengguna,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
susah,583,106,450,27,106,102,jelas:21; dikirim:6; nyaman:5; bagus:5; sesuai:3; berhasil:3; punya:3; kaya:2,alpikasi kurang nyaman alpikasinya tambah jelek susah digunakan susah login || kenapa susah aktifin nya isi formulir nya suruh kantor cabang ribet tidak kaya bank || sinyalku bagus memory lambat banget jakone nya log in susahnya bukan main aduh lama2 kabur penggunanya,"rule negasi sudah ada untuk token langsung sebelumnya, tetapi perlu perluasan frasa/domain dan validasi kasus positif"
